,Argmax_Model_Accuracy,Argmax_True_Accuracy,Random_Model_Accuracy,Random_True_Accuracy,Beam_Model_Accuracy,Beam_True_Accuracy,Greedy_Model_Accuracy,Greedy_True_Accuracy,mean_uniqueness_model_beam,mean_valids_model_beam,mean_valids_uniques_model_beam,mean_uniqueness_true_beam,mean_valids_true_beam,mean_valids_uniques_true_beam,mean_uniqueness_model_greedy,mean_valids_model_greedy,mean_valids_uniques_model_greedy,mean_uniqueness_true_greedy,mean_valids_true_greedy,mean_valids_uniques_true_greedy
0,0.5,1.0,0.0,0.0,0.53125,1.0,0.34375,1.0,1.0,0.45625,0.45625,1.0,1.0,1.0,1.0,0.40937500000000004,0.40937500000000004,1.0,1.0,1.0
0,0.5625,1.0,0.0,0.0,0.40625,1.0,0.3125,1.0,1.0,0.44062500000000004,0.44062500000000004,0.99375,1.0,1.0,1.0,0.284375,0.284375,0.990625,1.0,1.0
0,0.328125,1.0,0.0,0.0,0.390625,1.0,0.265625,1.0,0.996875,0.396875,0.396875,0.990625,1.0,1.0,0.996875,0.271875,0.271875,0.9875,1.0,1.0
0,0.453125,1.0,0.0,0.0,0.421875,1.0,0.265625,1.0,1.0,0.446875,0.446875,1.0,1.0,1.0,1.0,0.259375,0.259375,1.0,1.0,1.0
0,0.65625,1.0,0.0,0.0,0.265625,1.0,0.21875,1.0,1.0,0.2875,0.2875,0.996875,1.0,1.0,1.0,0.27812500000000007,0.27812500000000007,1.0,1.0,1.0
